Index,Title,Full Address,Neighborhood,District,Latitude,Longitude,Street,Bedrooms,Bathrooms,Parking,Floor Area,Land Area,Price
45,Your entry into the Remarkables Residences,"91/1 O'Meara Street, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.011532,168.746944,91/1 O'Meara Street,2.0,2.0,1.0,103.2,0.0,799000.0
46,"Three beds, 365days of VA.","2A/54 Fryer Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.023462,168.658528,2A/54 Fryer Street,3.0,1.0,1.0,109.2,0.0,799000.0
47,Quick sale required!,"Lot 18 Ryan Loop, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.075248,16.874369,Lot 18 Ryan Loop,2.0,2.0,1.0,0.0,0.0,none
48,Start Your Real Estate Journey Here,"17B Wynyard Crescent, Fernhill, Queenstown-Lakes",Fernhill,Queenstown-Lakes,-45.038692,168.632405,17B Wynyard Crescent,3.0,2.0,1.0,112.2,0.0,800000.0
49,Ramada Hotel Dual-Key Apartment,"Unit 309 Ramada Hotel Remarkables Park, 24 Hawthorne Drive, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.025381,168.746506,Unit 309 Ramada Hotel Remarkables Park,3.0,2.0,1.0,100.2,0.0,819000.0
50,Home with Subdivision Potential,"88 Dorset Street, Kingston, Queenstown-Lakes",Kingston,Queenstown-Lakes,-45.331962,168.711062,88 Dorset Street,4.0,1.0,0.0,136.2,3261.0,none
51,Live-Work Opportunity,"Live-Work Apartments, 98 Gorge Road, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.024079,168.661855,Live-Work Apartments,1.0,1.0,1.0,87.2,0.0,none
52,BRAND NEW TO MARKET,"67/1 O'Meara Street, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.011532,168.746944,67/1 O'Meara Street,3.0,2.0,1.0,103.2,0.0,860000.0
53,Dual Key Apartment in Queenstown,"B2 unit 506 - 18 Mountain Ash Drive, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-4.502816,168.750682,B2 unit 506 - 18 Mountain Ash Drive,2.0,2.0,1.0,0.0,76.0,none
54,10-minutes to the bottom chairlift at Coronet Peak,"Lot 40, 161 Arthurs Point Road, Arthurs Point, Queenstown-Lakes",Arthurs Point,Queenstown-Lakes,-44.979497,16.868598,Lot 40,3.0,2.0,1.0,0.0,90.0,890000.0
55,Prime on Panorama,"3/29 Panorama Terrace, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.033954,16.867327,3/29 Panorama Terrace,2.0,2.0,1.0,110.2,0.0,895000.0
